1;Egyenes vonalú mozgás;Linear motion
2;Egyenletes mozgás;Uniform motion
3;Egyenletesen gyorsuló mozgás;Uniform accelerating motion
4;Egyenletes körmozgás;Uniform circular motion
5;Gyorsuló körmozgás;Accelerating circular motion
6;Harmonikus rezgőmozgás;Harmonic oscillation
7;Hajítás;Projectile motion
8;Bolygók mozgása;Orbital motion
9;Newton 1. törvénye;Newton's 1st law
10;Newton 2. törvénye;Newton's 2nd law
11;Newton 3. törvénye;Newton's 3rd law
12;Súrlódási erő;Friction force
13;Közegellenállási erő;Fluid resistance
14;Súly;Weight
15;Tömegvonzási  erő;Gravity force
16;Rugalmas erő;Elastic force
17;Mechanikai munka;Mechanical work
18;Konzervatív erők;Conservative forces
19;Helyzeti energia;Potential energy
20;Mozgási energia;Kinetic energy
21;Rugalmas energia;Elastic potential energy
22;Munkatétel;Work and Energy
23;Energia megmaradás;Conservation of energy
24;Lendület;Momentum
25;Tömegpont rendszer;Point of mass system
26;Lendület megmaradás;Conservation of momentum
27;Ütközések;Collisions
28;Forgatónyomaték;Torque
29;Merev test egyensúlya;Rigid body equilibrium
30;Gyorsuló forgómozgás;Accelerating rotational motion
31;Mechanikai hullámok;Mechanical waves
32;Elektromágneses hullámok;Electromagnetic waves
33;Sűrűség;Density
34;Nyomás;Pressure
35;Pascal törvény;Pascal Law
36;Hidrosztatikai nyomás;Hydrostatic pressure
37;Áramló közeg;Flowing medium
38;Hőmérséklet;Temperature
39;Hőtágulás;Thermal expansion
40;Hőcsere folyamatok;Heat transfer
41;Hőkapacitás;Heat capacity
42;Halmazállapot változások;Physical state changes
43;Gáztörvények;Gas laws
44;Gázok kinetikus modellje;Kinetic model of gases
45;Belső energia;Internal energy
46;A termodinamika 1. főtétele;Law 1 of thermodynamics
47;A termodinamika 2. főtétele;Law 2 of thermodynamics
48;Elektromos alapjelenségek;Basic electrical phenomena
49;Coulomb törvény;Coulomb Law
50;Elektrosztatikus tér;Electrostatic field
51;Töltések vezetőn;Electric charge on conductors
52;Elektomos áram;Electric current
53;Gerjesztési törvény;Excitation law
54;Elektromos indukció;Electrical induction
55;Váltóáram;Alternating current
56;Egyenáram;Direct current
57;Maxwell egyenletek;Maxwell equations
58;A fény hullámtermészete;The wave nature of light
59;A fény részecsketermészete;Particle nature of light
60;Sugármenetek;Light rays path
61;Leképező eszközök;Optical instruments
62;Atommodellek;Atomic models
63;Elektronhéj;Electron shell
64;Az anyag kettős természete;The dual nature of matter
65;Nukleáris energia;Nuclear energy
66;Nukleáris erőmű;Nuclear power plant
67;Energia termelés;Primary energy types
68;Speciális relativitás;Special relativity
69;Kozmogónia;Cosmogony
70;Naprendszer;Solar system
